id;date_creation;date_lancement;date_cloture;encour;pourcentage_mise;pourcentage_rebourt
1;2019-07-24T21:23:59;2019-07-25T02:10:37;2019-07-24T21:00:59;false;14808;28484
2;2019-07-24T14:09:55;2019-07-25T13:13:32;2019-07-25T07:42:29;true;97661;50267
3;2019-07-25T04:14:45;2019-07-25T12:52:31;2019-07-25T13:19:03;false;34507;90826
4;2019-07-24T22:53:11;2019-07-25T08:21:41;2019-07-24T21:46:26;false;53093;48945
5;2019-07-25T03:21:51;2019-07-24T14:27:19;2019-07-25T00:50:29;false;59269;67213
6;2019-07-25T12:10:13;2019-07-24T19:49:55;2019-07-25T05:14:21;false;24215;72821
7;2019-07-24T18:50:08;2019-07-25T05:17:03;2019-07-25T02:49:25;true;98342;63352
8;2019-07-25T04:32:21;2019-07-25T01:15:08;2019-07-24T18:31:00;false;79834;83530
9;2019-07-25T10:29:37;2019-07-25T06:24:44;2019-07-25T01:54:51;false;69581;4077
10;2019-07-24T17:30:37;2019-07-24T23:55:46;2019-07-25T06:17:16;true;22024;1658
