id;montant;date_mise;date_validation;etat;position_clic
1;21844;2019-07-25T03:58:00;2019-07-24T22:26:53;89255;88328
2;53934;2019-07-25T00:39:36;2019-07-24T13:03:57;12208;89609
3;35629;2019-07-25T00:48:44;2019-07-24T10:40:50;11005;27213
4;22793;2019-07-24T16:54:00;2019-07-24T22:11:38;52;81801
5;35256;2019-07-24T11:47:13;2019-07-25T01:07:47;695;16465
6;51074;2019-07-24T19:37:35;2019-07-24T22:25:35;48482;22210
7;69243;2019-07-25T05:34:03;2019-07-25T01:58:42;33761;24412
8;94290;2019-07-25T04:24:19;2019-07-25T00:41:15;21876;51879
9;55810;2019-07-24T15:34:19;2019-07-24T22:45:08;36362;6489
10;97178;2019-07-25T02:21:01;2019-07-24T09:20:45;24687;25178
